,NSC,CID,SMILES,MECHANISM,DrugBank ID,Drug Name,SID,is_dti
13519,694628,393174,CC1=CC2=C(N=C1)S(=O)(=O)N(C2=O)C3=CC=C(C=C3)[N+](=O)[O-],Other,,"5-Methyl-2-(4-nitrophenyl)-1,1-dioxo-isothiazolo[5,4-b]pyridin-3-one",393174,False
13520,694631,393177,CCCCC1=CC=C(C=C1)N2C(=O)C3=C(S2(=O)=O)N=CC(=C3)[N+](=O)[O-],Other,,"2-(4-Butylphenyl)-5-nitro-1,1-dioxo-isothiazolo[5,4-b]pyridin-3-one",393177,False
13521,694667,393179,CN1C2=CC=CC=C2C3(C1=O)CCC4(C=C3)OCCO4,Other,,-,-,False
13522,694673,5469947,CC(C1=CC=CC2=CC=CC=C21)NC(=O)OC3CCC4(C=C3)C5=CC=CC=C5N(C4=O)C,Other,,"(1'-Methyl-2'-oxospiro[cyclohex-2-ene-4,3'-indole]-1-yl) N-[(1R)-1-naphthalen-1-ylethyl]carbamate",5469947,False
13523,694675,393187,CN(C1=CC=CC=C1I)C(=O)C2=CCCCCC2,Other,,N-(2-Iodophenyl)-N-methyl-1-cycloheptene-1-carboxamide,393187,False
13524,694679,393191,C1CC2(CC=C1C(=O)N(CC3=CC=CC=C3)C4=CC=CC=C4I)OCCO2,Other,,"N-Benzyl-N-(2-iodophenyl)-1,4-dioxaspiro[4.5]dec-8-ene-8-carboxamide",393191,False
13525,694680,393192,C[Si](C)(C)CCOCN(C1=CC=CC=C1I)C(=O)C2=CCC3(CC2)OCCO3,Other,,"N-(2-Iodophenyl)-N-(2-trimethylsilylethoxymethyl)-1,4-dioxaspiro[4.5]dec-8-ene-8-carboxamide",393192,False
13526,694681,6081340,CC1=CC=C(C=C1)S(=O)(=O)NN=C2CCC3(C=C2)C4=CC=CC=C4N(C3=O)I,Other,,"N-[(Z)-(1'-Iodo-2'-oxospiro[cyclohex-2-ene-4,3'-indole]-1-ylidene)amino]-4-methylbenzenesulfonamide",6081340,False
13527,694684,5469952,CC(C)[Si](C(C)C)(C(C)C)OCC=C(CC(OC)OC)C(=O)NC1=CC=CC=C1I,Other,,"2-(2,2-Dimethoxyethyl)-N-(2-iodophenyl)-4-((triisopropylsilyl)oxy)-2-butenamide",5469952,False
13528,694687,5469954,CC(C)[Si](C(C)C)(C(C)C)OC=CC1(C2=CC=CC=C2N(C1=O)COCC[Si](C)(C)C)CC(OC)OC,Other,,"3-(2,2-Dimethoxyethyl)-1-(2-trimethylsilylethoxymethyl)-3-[(E)-2-tri(propan-2-yl)silyloxyethenyl]indol-2-one",5469954,False
13529,694688,393200,COC(CC1(C2=CC=CC=C2N(C1=O)COCC[Si](C)(C)C)CCNC3=CC=CC=C3)OC,Other,,"2H-Indol-2-one, 1,3-dihydro-3-(2,2-dimethoxyethyl)- 1-[[...",393200,False
13530,694689,5469955,CC(C)[Si](C(C)C)(C(C)C)OCC=C(CC(OC)OC)C(=O)N(C1=CC=CC=C1I)C(=O)OC(C)(C)C,Other,,-,-,False
13531,694691,5469956,CC(C)[Si](C(C)C)(C(C)C)OCC=C(CC(OC)OC)C(=O)N(COCC[Si](C)(C)C)C1=CC=CC=C1I,Other,,-,-,False
